config,set,n,n_stab,r,rho,mae,rmse,stab_bias,stab_rho,stab_mae,auc_stab,detpr30,ndcg30,dims,secs,augment,source,note
cw,tsu_oof,12359,535,0.7925637231207413,0.7652693007111878,0.4506926547378087,0.619843547599617,0.7695988068913785,0.1579973700749638,0.7770807195161362,0.8321759639826489,0.8,0.5460895822700649,256,167,False,results_s669_locality.csv,S669 replication
cw+far,tsu_oof,12359,535,0.7839949233310037,0.7781227083123752,0.4422152025511816,0.6331201587022585,0.7393004095479406,0.1630997851235265,0.7499039836586331,0.8424055935654395,0.8333333333333334,0.5715315985315089,512,274,False,results_fact_noaug.csv,2x4 factorial
diag,tsu_oof,12359,535,0.7749717656667681,0.7570742878536553,0.4664521612268447,0.6424835891377012,0.7985145267557795,0.2162821041281045,0.7998879445077766,0.8353854982105144,0.5,0.3652327670992815,128,108,False,results_onehot_fp.csv,substitution-identity control
dz,tsu_oof,12359,535,0.7921605003163971,0.7767170967172002,0.4462077803025097,0.6201440939163734,0.7343928785975982,0.2515519378848694,0.7406692426434038,0.8587963021511767,0.6666666666666666,0.4181074656023261,256,136,False,results_s669_locality.csv,S669 replication
dz_cw,tsu_oof,12359,535,0.7911639673410404,0.773389094150447,0.4493784244221245,0.6216085312142273,0.7555291936527767,0.2090353911425755,0.7600276522476208,0.8474686365763282,0.7,0.4205870367831176,256,157,False,results_s669_locality.csv,S669 replication
far,tsu_oof,12359,535,0.7401346682913331,0.7684485487298985,0.4515206338027066,0.692747462944226,0.7930867729596806,0.1995457188487887,0.802460735466627,0.8316500259254107,0.7333333333333333,0.4291483047393623,256,188,False,results_s669_locality.csv,S669 replication
onehot,tsu_oof,12359,535,0.5046957012984297,0.4781214766611629,0.6550026952921439,0.877166592130674,1.2367717047020272,0.0034821199143589,1.2367717047020272,0.6901307178177127,0.1,0.1058517251853301,40,93,False,results_onehot_fp.csv,substitution-identity control
all,tsu_oof,12359,535,0.7991537862333488,0.7900586465566571,0.4318140137338089,0.6123519508446642,0.6540377181112071,0.2193686612615803,0.6893769511278263,0.8637689223881729,0.7333333333333333,0.4925789892224309,562,560,True,results_transfer.csv,S669 predictions persisted
base,tsu_oof,12359,535,0.7989925779487783,0.7758701544011274,0.4419234862903083,0.6148744709246861,0.6132534024341172,0.2681359818569652,0.6628702671869586,0.8537797351814147,0.7333333333333333,0.4684259264056051,256,676,True,results_fact_aug.csv,2x4 factorial
base+bio,tsu_oof,12359,535,0.7865076444104201,0.7821199330078324,0.4389612145502394,0.6362591783758025,0.5716990559634221,0.2868136216951575,0.628839583452622,0.8679231532887333,0.7333333333333333,0.5188551531742167,297,377,True,results.csv,"items 1-2, concat-baseline era"
base+bio_nox,tsu_oof,12359,535,0.8049655132813003,0.7852559912118656,0.43653276961367,0.6064738064791543,0.5771418493924104,0.2599492822561559,0.6378484955240447,0.8633612294967941,0.7,0.5063001811527261,285,368,True,results.csv,"items 1-2, concat-baseline era"
base+cons,tsu_oof,12359,535,0.7315580702569231,0.7765105083831091,0.4428977186926421,0.7128637387701896,0.6777818350282144,0.1992752033176551,0.7150830494681353,0.8520561696154186,0.8333333333333334,0.530569863532984,270,334,True,results_cons.csv,item 3
base+cw,tsu_oof,12359,535,0.7994514231601344,0.7819896463381049,0.4390202969249724,0.6152595883036275,0.574859364978152,0.2434812182916144,0.648405755629814,0.8599180504091156,0.9,0.5473776491730751,512,528,True,results.csv,"items 1-2, concat-baseline era"
base+cw+bio,tsu_oof,12359,535,0.8079853662165416,0.7861621340856654,0.4339731759375576,0.602846097631677,0.5722612616694558,0.2676128179850511,0.6360562627518636,0.8629465810074235,0.7333333333333333,0.5842173101559243,553,466,True,results.csv,"items 1-2, concat-baseline era"
base+cw+bio_t,tsu_oof,12359,535,0.7925259561135427,0.7841769488888441,0.4364861029497209,0.6277069462577943,0.5612325372660151,0.2642288661700424,0.6298708678485351,0.8608143740594134,0.7333333333333333,0.5450941980388245,548,452,True,results_bio_t.csv,item 2 follow-up
bio,tsu_oof,12359,535,0.4943799505778345,0.4001493460256332,0.7170307168113341,1.014690051395726,0.6972865833154901,0.0648643269006223,0.7773487209845577,0.6730601785691703,0.2333333333333333,0.1085616572285885,41,213,True,results.csv,"items 1-2, concat-baseline era"
cons,tsu_oof,12359,535,0.5462153418509398,0.4778821692930041,0.6347561417791372,0.853381866180498,1.26347984263632,-0.0667294891707586,1.2725005874039736,0.5979665941598271,0.4333333333333333,0.2328327720578066,14,377,True,results_fp_cons.csv,FireProt + conservation
cw,tsu_oof,12359,535,0.7948536600825095,0.765683085142809,0.4541996226758331,0.6250383269544703,0.5629176297328538,0.2449482870223073,0.629378063090171,0.8555538869146232,0.7666666666666667,0.5273811299167231,256,333,True,results_farctrl.csv,far-shell control
cw+bio_t,tsu_oof,12359,535,0.7982574864166121,0.772204146743992,0.4467083518661751,0.6182595668932829,0.5593504719822909,0.2616730743008678,0.6195124214376322,0.8654858485197222,0.7333333333333333,0.5834402806836221,292,249,True,results_bio_t.csv,item 2 follow-up
cw+cons,tsu_oof,12359,535,0.7987353261080241,0.7721048691361915,0.4437721948426233,0.6116202469528995,0.6906295386886317,0.2161241989151167,0.7253794477376498,0.8504641280841753,0.8666666666666667,0.589590248564197,270,291,True,results_transfer.csv,S669 predictions persisted
cw+far,tsu_oof,12359,535,0.7983535891101811,0.7784625754434742,0.4410269496015916,0.6174056827715594,0.5952022580914613,0.2363225090550607,0.6558822065066544,0.8558947112162179,0.7666666666666667,0.4390634089076116,512,657,True,results_fact_aug.csv,2x4 factorial
dz,tsu_oof,12359,535,0.5979947653021516,0.7776467981952936,0.4527479089119732,0.96060577134358,0.6426914952059002,0.2775543421190801,0.6696352669488808,0.8663491330795593,0.7333333333333333,0.5169139794030544,256,832,True,results_fact_aug.csv,2x4 factorial
far,tsu_oof,12359,535,0.5275265063301862,0.7653021455289056,0.4582503359873767,1.1338754350009517,0.65808237124418,0.2281904297686199,0.7046219190459951,0.8459162735699923,0.7333333333333333,0.4616157673889635,256,358,True,results_farctrl.csv,far-shell control
